date,prix_diesel_france_eur_L
2011-06-06,1.3157999999999999
2011-06-13,1.3184
2011-06-20,1.3335
2011-06-27,1.3088
2011-07-04,1.2854
2011-07-11,1.3060999999999998
2011-07-18,1.3357
2011-07-25,1.3475
2011-08-01,1.3372
2011-08-08,1.3357
2011-08-22,1.3027
2011-08-29,1.3017999999999998
2011-09-05,1.3197
2011-09-12,1.3315
2011-09-19,1.3392
2011-09-26,1.3405
2011-10-03,1.3326
2011-10-10,1.3294000000000001
2011-10-17,1.3397000000000001
2011-10-24,1.3588
2011-10-31,1.3609
2011-11-07,1.3654000000000002
2011-11-14,1.377
2011-11-21,1.395
2011-11-28,1.376
2011-12-05,1.379
2011-12-12,1.3742
2011-12-19,1.3682999999999998
2012-01-09,1.3982999999999999
2012-01-16,1.424
2012-01-23,1.4182000000000001
2012-01-30,1.3965999999999998
2012-02-06,1.396
2012-02-13,1.418
2012-02-20,1.4223
2012-02-27,1.4407999999999999
2012-03-05,1.4313699999999998
2012-03-12,1.4378
2012-03-19,1.4584000000000001
2012-03-26,1.456
2012-04-02,1.4429
2012-04-16,1.4362000000000001
2012-04-23,1.4295
2012-04-30,1.4264000000000001
2012-05-07,1.42523
2012-05-14,1.4022999999999999
2012-05-21,1.3925
2012-05-28,1.3775
2012-06-04,1.3778
2012-06-11,1.349
2012-06-18,1.3380999999999998
2012-06-25,1.3285
2012-07-02,1.3167
2012-07-09,1.3449
2012-07-16,1.3709
2012-07-23,1.4
2012-07-30,1.3962
2012-08-06,1.406
2012-08-13,1.4245999999999999
2012-08-20,1.449
2012-08-27,1.4592
2012-09-03,1.3973
2012-09-10,1.4036
2012-09-17,1.3996
2012-09-24,1.3693
2012-10-01,1.3708
2012-10-08,1.388
2012-10-15,1.4032
2012-10-22,1.3959000000000001
2012-10-29,1.3776
2012-11-05,1.3724
2012-11-12,1.3658
2012-11-19,1.3636
2012-11-26,1.3716
2012-12-03,1.3653
2012-12-10,1.3608
2012-12-17,1.3509
2013-01-07,1.3629
2013-01-14,1.3805999999999998
2013-01-21,1.3824
2013-01-28,1.3885
2013-02-04,1.3908
2013-02-11,1.4004
2013-02-18,1.4150999999999998
2013-02-25,1.4165999999999999
2013-03-04,1.4078
2013-03-11,1.3948
2013-03-18,1.3872
2013-03-25,1.3802
2013-04-01,1.3788
2013-04-08,1.387
2013-04-15,1.3593
2013-04-22,1.3209000000000002
2013-04-29,1.3174000000000001
2013-05-06,1.3163
2013-05-13,1.3203
2013-05-20,1.3267
2013-05-27,1.3375
2013-06-03,1.3347
2013-06-10,1.3249000000000002
2013-06-17,1.3199
2013-06-24,1.3285
2013-07-01,1.3226
2013-07-08,1.3333
2013-07-15,1.3459
2013-07-22,1.3539
2013-07-29,1.3344
2013-08-05,1.3431
2013-08-12,1.3472
2013-08-19,1.3451
2013-08-26,1.3552
2013-09-02,1.3705999999999998
2013-09-09,1.376
2013-09-16,1.3760999999999999
2013-09-23,1.3625
2013-09-30,1.3415
2013-10-07,1.3297
2013-10-14,1.3287
2013-10-21,1.3331
2013-10-28,1.3233
2013-11-04,1.3112000000000001
2013-11-11,1.3133
2013-11-18,1.3107
2013-11-25,1.3163
2013-12-02,1.3327
2013-12-09,1.3368
2013-12-16,1.3291
2014-01-06,1.3389000000000002
2014-01-13,1.3303
2014-01-20,1.3228
2014-01-27,1.3237999999999999
2014-02-03,1.326
2014-02-10,1.3266
2014-02-17,1.3294300000000001
2014-02-24,1.33081
2014-03-03,1.33165
2014-03-10,1.32654
2014-03-17,1.31294
2014-03-24,1.3003699999999998
2014-03-31,1.3047
2014-04-07,1.3071700000000002
2014-04-14,1.3061800000000001
2014-04-28,1.31247
2014-05-05,1.31181
2014-05-12,1.30156
2014-05-19,1.3044
2014-05-26,1.30891
2014-06-02,1.30859
2014-06-09,1.2980699999999998
2014-06-16,1.29838
2014-06-23,1.3174000000000001
2014-06-30,1.3255
2014-07-07,1.31726
2014-07-14,1.2975999999999999
2014-07-21,1.29946
2014-07-28,1.30021
2014-08-04,1.2953
2014-08-11,1.30225
2014-08-18,1.30252
2014-08-25,1.2966
2014-09-01,1.299
2014-09-08,1.2880999999999998
2014-09-15,1.2994
2014-09-22,1.2935999999999999
2014-09-29,1.2868
2014-10-06,1.2886
2014-10-13,1.2775999999999998
2014-10-20,1.2545
2014-10-27,1.2377
2014-11-03,1.2367000000000001
2014-11-10,1.2425
2014-11-17,1.2462
2014-11-24,1.2237
2014-12-01,1.2136
2014-12-08,1.1792
2014-12-15,1.1497
2015-01-05,1.1222
2015-01-12,1.1268
2015-01-19,1.1042
2015-01-26,1.1048399999999998
2015-02-02,1.1164
2015-02-09,1.15039
2015-02-16,1.18152
2015-02-23,1.20441
2015-03-02,1.2095799999999999
2015-03-09,1.21744
2015-03-16,1.21908
2015-03-23,1.20099
2015-03-30,1.19019
2015-04-13,1.18618
2015-04-20,1.21214
2015-04-27,1.22473
2015-05-04,1.2323
2015-05-11,1.239
2015-05-18,1.2341
2015-05-25,1.23171
2015-06-01,1.23325
2015-06-08,1.2288599999999998
2015-06-15,1.21469
2015-06-22,1.21066
2015-06-29,1.2045
2015-07-06,1.19228
2015-07-13,1.18565
2015-07-20,1.17552
2015-07-27,1.16781
2015-08-03,1.1419000000000001
2015-08-10,1.1375
2015-08-17,1.1275
2015-08-24,1.1183699999999999
2015-08-31,1.08682
2015-09-07,1.09537
2015-09-14,1.11486
2015-09-21,1.10549
2015-09-28,1.1044
2015-10-05,1.10553
2015-10-12,1.11342
2015-10-19,1.10524
2015-10-26,1.0903699999999998
2015-11-02,1.0906900000000002
2015-11-09,1.10453
2015-11-16,1.10848
2015-11-23,1.09499
2015-11-30,1.0926900000000002
2015-12-07,1.08216
2015-12-14,1.0477
2016-01-04,1.0214
2016-01-11,1.0453599999999998
2016-01-18,1.0243699999999998
2016-01-25,0.9996900000000001
2016-02-01,1.00207
2016-02-08,1.01719
2016-02-15,1.01049
2016-02-22,1.0161
2016-02-29,1.02087
2016-03-07,1.03528
2016-03-14,1.0647
2016-03-21,1.06743
2016-04-04,1.06478
2016-04-11,1.04369
2016-04-18,1.0597999999999999
2016-04-25,1.07149
2016-05-02,1.0888499999999999
2016-05-09,1.09449
2016-05-16,1.094
2016-05-23,1.12727
2016-05-30,1.17404
2016-06-06,1.17462
2016-06-13,1.16096
2016-06-20,1.1508099999999999
2016-06-27,1.14325
2016-07-04,1.1406800000000001
2016-07-11,1.12751
2016-07-18,1.12273
2016-07-25,1.11395
2016-08-01,1.0950499999999999
2016-08-08,1.0800999999999998
2016-08-15,1.0887
2016-08-22,1.11007
2016-08-29,1.12334
